阶段,表单ID,表单名称,字段名称,字段类型,是否必填,选项值,分组,帮助文本
M9,M9-1,发货清单,包装清单,多行文本,是,,物料清单,每行格式：物料名-数量-箱号
M9,M9-1,发货清单,随机文件清单,多行文本,是,,物料清单,
M9,M9-1,发货清单,发货负责人,文本,是,,发货信息,
M9,M9-2,安装计划书,项目编号,文本,是,,安装信息,
M9,M9-2,安装计划书,安装地点,文本,是,,安装信息,
M9,M9-2,安装计划书,计划开始日期,日期,是,,安装信息,
M9,M9-2,安装计划书,计划完成日期,日期,是,,安装信息,
M9,M9-2,安装计划书,安装团队,多行文本,是,,人员安排,
M9,M9-2,安装计划书,场地要求,多行文本,是,,现场要求,电源/气源/地基等
M9,M9-2,安装计划书,安全注意事项,多行文本,是,,安全,
M10,M10-1,现场调试记录,项目编号,文本,是,,调试信息,
M10,M10-1,现场调试记录,调试日期,日期,是,,调试信息,
M10,M10-1,现场调试记录,调试工程师,文本,是,,调试信息,
M10,M10-1,现场调试记录,客户方配合人,文本,否,,调试信息,
M10,M10-1,现场调试记录,调试内容,多行文本,是,,调试过程,
M10,M10-1,现场调试记录,调试结果,单选,是,正常/异常需处理/需更换部件,调试过程,
M10,M10-1,现场调试记录,遗留问题,多行文本,否,,问题跟踪,
M10,M10-1,现场调试记录,明日计划,多行文本,否,,问题跟踪,
M11,M11-1,SAT验收计划,项目编号,文本,是,,验收信息,
M11,M11-1,SAT验收计划,验收日期,日期,是,,验收信息,
M11,M11-1,SAT验收计划,客户方验收人,文本,是,,验收信息,
M11,M11-1,SAT验收计划,我方负责人,文本,是,,验收信息,
M11,M11-1,SAT验收计划,验收标准清单,多行文本,是,,验收标准,
M11,M11-1,SAT验收计划,性能指标要求,多行文本,是,,验收标准,
M11,M11-2,SAT验收报告,项目编号,文本,是,,验收信息,
M11,M11-2,SAT验收报告,验收日期,日期,是,,验收信息,
M11,M11-2,SAT验收报告,测试项目,文本,是,,测试结果,
M11,M11-2,SAT验收报告,验收结论,单选,是,通过/不通过/有条件通过,测试结果,
M11,M11-2,SAT验收报告,实测数据,多行文本,是,,测试结果,
M11,M11-2,SAT验收报告,遗留问题及整改计划,多行文本,否,,测试结果,
M11,M11-2,SAT验收报告,客户签字确认,单选,是,已确认/待确认,确认信息,
M12,M12-1,项目结项报告,项目编号,文本,是,,项目信息,
M12,M12-1,项目结项报告,项目名称,文本,是,,项目信息,
M12,M12-1,项目结项报告,项目经理,文本,是,,项目信息,
M12,M12-1,项目结项报告,实际完成日期,日期,是,,项目信息,
M12,M12-1,项目结项报告,合同金额,数字,是,,财务总结,单位：万元
M12,M12-1,项目结项报告,实际成本,数字,是,,财务总结,单位：万元
M12,M12-1,项目结项报告,利润率,数字,是,,财务总结,百分比
M12,M12-1,项目结项报告,项目总结,多行文本,是,,经验总结,
M12,M12-1,项目结项报告,经验教训,多行文本,是,,经验总结,
M12,M12-1,项目结项报告,改进建议,多行文本,否,,经验总结,
M12,M12-2,客户满意度调查,项目编号,文本,是,,调查信息,
M12,M12-2,客户满意度调查,客户名称,文本,是,,调查信息,
M12,M12-2,客户满意度调查,调查日期,日期,是,,调查信息,
M12,M12-2,客户满意度调查,产品质量评分,数字,是,,满意度评分,1-10分
M12,M12-2,客户满意度调查,交付及时性评分,数字,是,,满意度评分,1-10分
M12,M12-2,客户满意度调查,服务态度评分,数字,是,,满意度评分,1-10分
M12,M12-2,客户满意度调查,技术支持评分,数字,是,,满意度评分,1-10分
M12,M12-2,客户满意度调查,综合满意度,单选,是,非常满意/满意/一般/不满意/非常不满意,总评,
M12,M12-2,客户满意度调查,改进意见,多行文本,否,,总评,
