岗位,等级,T (技术能力),S (系统能力),D (交付能力),C (客户导向),K (知识沉淀),L (领导力)
,L2,系统维护： 能够处理 GIMS 系统的常见 Bug，维护 M365 权限。理解基础的清洗工艺逻辑。,配置员： 实现 M365 的自动化流配置，提升办公效率。,准确： 确认信息后 24 小时内启动签证/机票流程，无错误。,响应： 快速响应美国工厂的 IT 支持请求。制作清晰的操作视频指导客户。,文档： 编写服务器维护手册、签证办理流程 SOP。,分享： 在小组内分享技术心得与差旅办理经验。
,L3,算法应用： 独立设计基于流量/压力的清洗控制算法。实现 3D 视觉与机械臂的通信对接。,开发者： 将业务需求转化为 GIMS 系统功能模块。优化服务器架构，提升系统可用性 99.9%,独立交付： 独立完成客户现场的软件部署调试，确保系统上线。灵活处理签证紧急状况。,体验优化： 根据客户操作习惯优化 UI/UX 设计。制作高质量的设备宣传视频辅助销售。,案例： 总结算法优化案例，提交至 GitHub 或内部知识库。整理常见软件故障集。,负责： 负责特定项目的软件模块交付，确保无延期。
,L4,核心研发： 开发自适应智能清洗算法（如基于洁净度反馈的自动补偿）。优化 AI Brain 的边缘计算效率。,架构师： 规划全球多站点（中/美/欧）的数据同步与协同架构。实现研发-制造数据的数字孪生映射。,统筹交付： 协调全球 IT 资源，确保跨国项目的软件交付进度。通过优化差旅方案降低 10% 成本。,痛点解决： 通过算法优化解决客户特定的清洗难题（如盲孔残留）。提供定制化的数据报表服务,体系： 建立全球外事合规与 IT 部署标准白皮书。构建算法模块库，实现代码复用。,技术带头人： 带领团队攻克智能清洗算法难题，提升团队技术水位。作为“核心推动者”协调软硬件联调。
,L5,技术引领： 架构 GRT 下一代工业互联网平台（IIoT），定义行业领先的智能清洗算法标准，实现“无人化”清洗工厂。,生态构建者： 打造开放的 GRT 开发者生态，利用 AI Agent 实现全系统的自主运维与进化,极致交付： 开发自动化差旅与签证管理工具。通过远程 OTA 技术实现全球设备的“零时差”软件交付与升级。,战略赋能： 为大客户提供数字化工厂对接方案（如通过 API 对接 SAP），成为客户不可或缺的数字化伙伴。,资产化： 将核心算法封装为可售卖的软件产品（SaaS）。主导建立行业软件工程标准。,变革驱动者： 推动研发团队向 DevSecOps 转型。以技术愿景感召团队，培养复合型数字化人才。
售后服务,L1,基础维保： 掌握设备的基础保养（换油、换滤芯）操作。,信息查询： 会在系统中查询设备发货清单,现场配合： 配合完成卸货、拆箱等体力工作。,服务态度： 接待客户热情，记录投诉详细。,清单整理： 能整理单台设备的随机备件清单。,自我驱动： 能适应长期出差，抗压能力强。
,L2,安装验收： 熟悉 GRT 8 款核心产品的标准安装与验收流程。能指导基础电气连接。,看板管理： 熟练使用 WeCom/CRM 查看服务工单与备件库存。,计划执行： 提前 1 个月制定验收计划，并按计划执行现场安装验收工作。,投诉处理： 及时响应客户报修，确保重大客诉处理不过夜（停机<8 小时）。,培训分享： 每季度开展 1 次售后培训分享，讲解常见问题处理方法。,团队管理： 管理 BU 内服务团队的日常派工与绩效考核。
,L3,故障诊断： 能通过远程指导或现场排查，解决 80% 的常见电气/机械故障。熟悉 UL508A 等海外规范。,档案闭环： 确保 M12 阶段的项目资料（图纸、程序、手册）在系统中完整归档，无缺失。,高效验收： 通过统筹资源，提前 1 周完成终验收（T15），获得绩效加分。,遗留清零： 在 T15 阶段高效清理 Punch List（遗留问题清单），获得客户签字认可。,索引优化： 完善全球备件库索引，通过 M2 阶段的 Tag（如 PLC 品牌）优化备件匹配精准度。,冲突解决： 在跨国项目现场，通过谈判与协调解决与客户或分包商的冲突，达成共识。 
,L4,高级调试： 精通 PLC 程序修改、机器人示教及复杂工艺参数调整。能处理疑难杂症。,备件数字化： 构建全球备件库存周转模型，通过数据分析优化备件库存水位，降低资金占用。,跨国交付： 主导海外复杂项目的交付，解决物流、清关、现场条件（如承重、电压）不符等难题。,顾问式服务： 变“被动维修”为“主动顾问”，为客户提供维保优化建议、备件储备方案。,标准输出： 建立 GRT 标准维保计划（Maintenance Plan）模板。编写海外服务手册。 ,人才培养： 培养具备国际化视野、语言能力与技术能力的“金牌服务工程师”梯队。
,L5,预测性维护： 主导开发基于 IoT 数据的设备健康管理算法。利用 AI 进行故障预测，实现“治未病”,服务网络协同： 打造全球服务指挥中心（SOC），实现人员、备件、技术资源的全球全时调度与可视化。,商业闭环： 超额完成售后增值服务订单（>200W），将交付转化为持续的商业收入。 ,极致体验： 建立全球 24 小时响应体系（Follow the Sun）。通过极致服务体验，促成客户的二次购买与推荐。,知识库构建： 打造行业领先的故障知识库（Failure Knowledge Base），结合 AI 实现故障自诊断指引。,战略构建： 设计 GRT 全球服务战略蓝图（Service 4.0），推动公司从“设备制造商”向“全生命周期服务商”转型。
制造质量,L1,基础检验： 会使用卡尺、千分尺等量具，能看懂基础装配图。,数据记录： 准确填写纸质或电子检验单。,按时作业： 按班组长要求完成当班任务。,规范作业： 遵守现场纪律，不与客户发生冲突。,记录： 记录每天的工作日志。,自我约束： 遵守安全规定。
,L2,标准掌握： 熟悉 AWS/ISO 焊接标准、VDA 19.1 清洁度标准，能判断常见缺陷。,系统使用： 熟练使用 GIMS、D365 录入质量数据和生产进度。,进度达成： 确保负责的模块或项目按期交付率 100%,及时反馈： 对客户提出的质量疑问能及时反馈给上级，不隐瞒。,整理： 整理调试记录单、出厂检验报告，确保文档齐全。,班组管理： 维持班组 5S 达标率 ≥90%，确保零安全事故。
,L3,问题诊断： 熟练解决 T7 设备调试中的机械/电气干涉问题。掌握复杂清洗工艺（如真空干燥、超声波配置）。,数据分析： 利用系统数据分析一次合格率低的原因，并在月度工艺评审中提出改进项。,应急响应：紧急服务响应时间 ≤4 小时，现场问题解决率 ≥80%。有效处理突发缺料或设备故障,现场服务： 在 T14/T15 阶段，专业地配合客户进行 SAT 测试，解答技术疑问，提升客户信心。,案例输出： 每月提交 ≥1 个非标工艺案例或质量改进案例，沉淀至公司知识库。,赋能培训： 对一线工人进行技能培训（如 AR 辅助装配），提升团队整体技能。
,L4,工艺优化： 针对疑难杂症（如深孔清洗、异形件装配）提出创新工艺方案。精通 PLC 逻辑与机械结构的交互。,闭环管理： 建立基于数据的质量闭环体系，确保调试问题关闭率 ≥90%。利用 AI 工具辅助排产。 ,极致交付： 通过工艺优化和工装改进，显著缩短装配调试周期。确保海外复杂项目的顺利交付。,方案解决： 针对客户现场的特殊工况（如水质、节拍变化），主动提供系统性解决方案，而非临时敷衍。,故障库构建： 将历史典型故障（如泵浦异响、干燥不彻底）及解决方案结构化，丰富“故障知识库”。,核心推动者： 作为项目核心，协调研发、采购解决重大质量/进度瓶颈，提振团队士气。
,L5,技术权威： 定义 GRT 下一代制造工艺标准。主导核心部件（如旋转机构、高压喷淋系统）的工艺迭代。,数字化转型： 驱动制造过程的全面数字化孪生。利用大数据预测质量风险，实现“零缺陷”制造。,供应链协同： 拉通供应链与生产，实现 JIT（准时制）生产。主导跨 BU 的资源调度，确保公司级战略交付。,信任伙伴： 成为客户信赖的工艺顾问。建立“以客户为中心”的质量文化，通过卓越品质为公司赢得回头客。,标准制定： 编写 GRT 全球制造与质量标准手册（GMS）。将个人经验转化为公司级的培训课程和 AI 知识图谱。,文化变革： 塑造“第一次就把事情做对”的质量文化。培养具备工匠精神与数智能力的复合型制造梯队。
